,eventID ,case LoanGoal,case ApplicationType,case concept:name,case RequestedAmount,event Action,event org:resource,event concept:name,event EventOrigin,event EventID,event lifecycle:transition,event time:timestamp,day_of_week,hour,Position,next_event_time,time until next,minutes until next
651461,75999446302720,"Other, see explanation",New credit,Application_1000086665,5000.0,Created,User_1,A_Create Application,Application,Application_1000086665,complete,2016-08-03 17:57:21.673,Wednesday,17,1,2016-08-03 17:57:21.734,0 days 00:00:00.061000,0.0010166666666666666
651462,75999446302721,"Other, see explanation",New credit,Application_1000086665,5000.0,statechange,User_1,A_Submitted,Application,ApplState_161925113,complete,2016-08-03 17:57:21.734,Wednesday,17,2,2016-08-03 17:57:21.963,0 days 00:00:00.229000,0.003816666666666667
651463,75999446302722,"Other, see explanation",New credit,Application_1000086665,5000.0,Created,User_1,W_Handle leads,Workflow,Workitem_747707399,schedule,2016-08-03 17:57:21.963,Wednesday,17,3,2016-08-03 17:58:28.286,0 days 00:01:06.323000,1.1053833333333332
651465,75999446302723,"Other, see explanation",New credit,Application_1000086665,5000.0,Deleted,User_1,W_Handle leads,Workflow,Workitem_1030261128,withdraw,2016-08-03 17:58:28.286,Wednesday,17,4,2016-08-03 17:58:28.293,0 days 00:00:00.007000,0.00011666666666666667
651466,75999446302724,"Other, see explanation",New credit,Application_1000086665,5000.0,Created,User_1,W_Complete application,Workflow,Workitem_1127124826,schedule,2016-08-03 17:58:28.293,Wednesday,17,5,2016-08-03 17:58:28.299,0 days 00:00:00.006000,0.0001
651467,75999446302725,"Other, see explanation",New credit,Application_1000086665,5000.0,statechange,User_1,A_Concept,Application,ApplState_385184570,complete,2016-08-03 17:58:28.299,Wednesday,17,6,2016-08-04 15:39:29.557,0 days 21:41:01.258000,1301.0209666666667
655571,75999446302726,"Other, see explanation",New credit,Application_1000086665,5000.0,Obtained,User_14,W_Complete application,Workflow,Workitem_518019192,start,2016-08-04 15:39:29.557,Thursday,15,7,2016-08-04 15:50:12.281,0 days 00:10:42.724000,10.712066666666667
655667,75999446302727,"Other, see explanation",New credit,Application_1000086665,5000.0,Released,User_14,W_Complete application,Workflow,Workitem_1967765821,suspend,2016-08-04 15:50:12.281,Thursday,15,8,2016-08-05 15:57:07.419,1 days 00:06:55.138000,1446.9189666666668
660081,75999446302728,"Other, see explanation",New credit,Application_1000086665,5000.0,statechange,User_5,A_Accepted,Application,ApplState_856156982,complete,2016-08-05 15:57:07.419,Friday,15,9,2016-08-05 15:59:57.320,0 days 00:02:49.901000,2.8316833333333333
660100,75999446302729,"Other, see explanation",New credit,Application_1000086665,5000.0,Created,User_5,O_Create Offer,Offer,Offer_410892064,complete,2016-08-05 15:59:57.320,Friday,15,10,2016-08-05 15:59:58.162,0 days 00:00:00.842000,0.014033333333333333
